08 03 25  14:00   -4.7   -4.0   -4.8    94   -5.5   8.0   WNW   4.02  25.7    NW   -8.3   -4.8   -8.3   993.9  0.00   0.0   0.480   0.000   24.3    24    2.5   23.3   702    1    100.0   30 
08 03 25  15:00   -5.4   -4.2   -5.4    94   -6.2   8.0   WNW   4.02  22.5   NNW   -9.1   -5.4   -9.1   994.2  0.00   0.0   0.494   0.000   24.7    25    3.4   23.9   702    1    100.0   30 
08 03 26   4:00   -7.6   -7.4   -7.7    93   -8.5  11.3     W   5.63  22.5    SW  -12.8   -7.7  -12.8   998.6  0.00   0.0   0.541   0.000   27.5    22    3.9   25.9   702    1    100.0   30 
08 03 26   9:30   -5.6   -5.6   -6.3    94   -6.4  16.1     W   8.05  32.2   WSW  -11.5   -5.6  -11.6  1001.1  0.00   0.0   0.498   0.000   26.2    21    2.1   24.6   702    1    100.0   30 
08 03 26  13:00   -4.3   -4.1   -5.3    94   -5.1  12.9     W   6.44  32.2   WSW   -9.2   -4.3   -9.2  1001.6  0.00   0.0   0.471   0.000   25.4    22    2.2   24.4   702    1    100.0   30 
08 03 23   2:30   -1.8   -1.8   -2.1    83   -4.3  14.5    SW   7.24  35.4   SSW   -6.5   -1.9   -6.6   992.7  0.00   0.0   0.419   0.000   29.3    20    4.0   27.6   703    1    100.0   30 
08 03 23   7:00   -1.8   -1.8   -2.1    77   -5.3   8.0     W   4.02  20.9   WNW   -4.9   -2.1   -5.1   993.5  0.00   0.0   0.420   0.000   25.2    24    3.2   24.3   702    1    100.0   30 
08 03 23   8:00   -1.0   -1.0   -1.4    75   -4.9   8.0     W   4.02  16.1   WSW   -3.9   -1.2   -4.1   994.3  0.00   0.0   0.403   0.000   24.7    24    2.7   23.8   702    1    100.0   30 
08 03 23   9:30    1.3    1.3   -0.3    67   -4.2   9.7     W   4.83  22.5   WNW   -1.7    0.9   -2.0   994.9  0.00   0.0   0.355   0.000   24.4    25    3.1   23.5   703    1    100.0   30 
08 03 23  12:30    1.7    1.7    1.1    67   -3.8   3.2    NW   1.61  11.3   WNW    1.3    1.4    1.0   994.9  0.00   0.0   0.346   0.000   24.3    27    4.1   23.3   702    1    100.0   30 
08 03 23  17:00    0.8    1.3    0.8    70   -4.0   1.6   ENE   0.80   8.0     E    0.8    0.6    0.6   995.3  0.00   0.0   0.365   0.000   28.0    18    1.5   26.2   702    1    100.0   30 
08 03 23  20:30   -0.9   -0.6   -0.9    83   -3.4   3.2   ENE   1.61   8.0   ENE   -1.6   -1.0   -1.7   995.4  0.00   0.0   0.400   0.000   28.9    20    3.7   27.2   702    1    100.0   30 
08 03 24   1:30   -1.2   -0.9   -1.2    88   -2.9   4.8     E   2.41  17.7     E   -2.8   -1.3   -2.9   991.0  0.00   0.0   0.406   0.000   29.4    20    4.1   27.7   703    1    100.0   30 
08 03 24   6:00   -3.1   -2.9   -3.1    96   -3.7  11.3    NE   5.63  25.7   NNE   -7.4   -3.2   -7.4   985.2  0.00   0.0   0.447   0.000   29.2    20    3.9   27.5   703    1    100.0   30 
08 03 24  12:30   -3.2   -3.2   -3.3    95   -3.9   4.8    NW   2.41  20.9   WNW   -5.1   -3.3   -5.2   987.6  0.00   0.0   0.449   0.000   25.2    27    4.8   24.4   702    1    100.0   30 
08 03 24  16:30   -3.1   -3.1   -3.2    96   -3.7   4.8   WNW   2.41  16.1   NNW   -5.0   -3.2   -5.1   990.1  0.00   0.0   0.447   0.000   25.9    27    5.5   24.8   703    1    100.0   30 
08 03 24  18:00   -3.2   -3.2   -3.2    96   -3.8   3.2   WNW   1.61   9.7   WNW   -4.1   -3.3   -4.2   991.2  0.00   0.0   0.449   0.000   25.6    28    5.7   24.7   703    1    100.0   30 
08 03 24  19:00   -3.4   -3.3   -3.4    96   -3.9   3.2   NNW   1.61   9.7   WNW   -4.3   -3.4   -4.3   992.0  0.00   0.0   0.453   0.000   26.1    27    5.6   24.9   703    1    100.0   30 
08 03 25   1:00   -4.7   -4.7   -4.7    95   -5.4   4.8   WNW   2.41  11.3   WNW   -6.8   -4.8   -6.9   991.1  0.00   0.0   0.480   0.000   26.3    27    5.8   25.1   702    1    100.0   30 
08 03 25   5:00   -5.7   -5.5   -5.7    94   -6.5   3.2   WNW   1.61   9.7   WNW   -6.8   -5.7   -6.8   990.9  0.00   0.0   0.500   0.000   26.2    26    5.1   24.9   703    1    100.0   30 
08 03 25   7:30   -5.6   -5.6   -5.7    95   -6.3   3.2   WNW   1.61   8.0   WNW   -6.7   -5.7   -6.8   991.7  0.00   0.0   0.499   0.000   26.2    25    4.6   24.9   703    1    100.0   30 
08 03 25   8:00   -5.6   -5.6   -5.7    94   -6.4   4.8   WNW   2.41  11.3     W   -7.8   -5.7   -7.9   991.9  0.00   0.0   0.499   0.000   26.2    25    4.6   24.9   702    1    100.0   30 
08 03 25   9:30   -5.2   -5.2   -5.3    95   -5.8   3.2   WNW   1.61  11.3   WNW   -6.3   -5.2   -6.3   992.1  0.00   0.0   0.490   0.000   25.2    24    3.2   24.4   702    1    100.0   30 
08 03 25  11:30   -4.8   -4.8   -5.6    95   -5.5   4.8   WNW   2.41  12.9     W   -6.9   -4.9   -7.0   993.3  0.00   0.0   0.483   0.000   24.8    24    2.9   24.0   702    1    100.0   30 
08 03 25  19:00   -6.0   -5.9   -6.0    94   -6.8   4.8     W   2.41  17.7   WNW   -8.3   -6.1   -8.3   996.4  0.00   0.0   0.507   0.000   26.9    21    2.7   25.3   702    1    100.0   30 
08 03 26   3:30   -7.4   -7.4   -7.4    93   -8.4  11.3     W   5.63  27.4   WSW  -12.6   -7.5  -12.7   998.5  0.00   0.0   0.537   0.000   27.6    22    4.0   26.0   702    1    100.0   30 
08 03 26   9:30   -5.6   -5.6   -6.3    94   -6.4  16.1     W   8.05  32.2   WSW  -11.5   -5.6  -11.6  1001.1  0.00   0.0   0.498   0.000   26.2    21    2.1   24.6   702    1    100.0   30 
08 03 26  10:00   -5.6   -5.4   -5.6    94   -6.4  16.1   WSW   8.05  32.2   WSW  -11.6   -5.7  -11.6  1001.4  0.00   0.0   0.499   0.000   25.8    21    1.8   24.5   702    1    100.0   30 
08 03 27   6:30   -5.2   -5.2   -5.4    95   -5.8   6.4     W   3.22  16.1    SW   -8.2   -5.2   -8.2  1004.9  0.00   0.0   0.490   0.000   29.8    19    3.7   28.0   702    1    100.0   30 
08 03 27   8:00   -3.9   -3.9   -4.6    95   -4.6   4.8     W   2.41  11.3     W   -5.9   -4.0   -6.0  1005.6  0.00   0.0   0.464   0.000   29.9    22    5.9   28.2   702    1    100.0   30 
08 03 27  17:30   -0.7   -0.3   -0.7    96   -1.3   1.6     W   0.80   8.0     W   -0.7   -0.8   -0.8  1009.0  0.00   0.0   0.397   0.000   25.1    37    9.3   24.6   703    1    100.0   30 
08 03 27  20:00   -1.4   -1.4   -1.4    95   -2.1   1.6     E   0.80   3.2     E   -1.4   -1.4   -1.4  1010.1  0.00   0.0   0.411   0.000   25.3    34    8.3   24.7   703    1    100.0   30 
08 03 27  21:00   -1.2   -1.2   -1.4    94   -2.1   1.6     E   0.80   3.2     E   -1.2   -1.3   -1.3  1010.3  0.00   0.0   0.407   0.000   25.7    31    7.3   24.8   703    1    100.0   30 
08 03 27  21:30   -0.9   -0.9   -1.2    92   -2.0   1.6    SE   0.80   4.8    SE   -0.9   -1.0   -1.0  1010.5  0.00   0.0   0.400   0.000   25.8    30    6.9   24.9   702    1    100.0   30 
08 03 28  16:00    6.6    7.1    6.6    58   -1.1   8.0    SE   4.02  20.9    SE    5.0    6.1    4.5  1016.0  0.00   0.0   0.245   0.000   23.9    25    2.7   22.7   702    1    100.0   30 
08 03 28  21:00    4.9    5.0    4.8    68   -0.5  22.5    SE  11.27  35.4    SE    0.6    4.6    0.3  1016.2  0.00   0.0   0.280   0.000   24.2    26    3.4   23.2   703    1    100.0   30 
08 03 28  22:30    4.7    4.7    4.4    65   -1.4   6.4    SW   3.22  16.1    SW    3.2    4.3    2.8  1016.1  0.00   0.0   0.285   0.000   24.3    26    3.6   23.4   702    1    100.0   30 
08 03 28  23:00    4.9    4.9    4.7    64   -1.4   9.7    SW   4.83  19.3   SSW    2.6    4.5    2.2  1016.2  0.00   0.0   0.280   0.000   24.4    26    3.7   23.5   702    1    100.0   30 
08 03 28  23:30    5.6    5.6    4.9    61   -1.4  11.3   SSW   5.63  20.9   SSW    3.1    5.1    2.6  1016.1  0.00   0.0   0.266   0.000   24.4    26    3.7   23.5   703    1    100.0   30 
08 03 29   2:00    5.7    5.8    5.6    59   -1.7  11.3   SSW   5.63  20.9   SSW    3.2    5.2    2.8  1015.5  0.00   0.0   0.264   0.000   24.7    26    3.9   23.8   703    1    100.0   30 
08 03 29   2:30    5.7    5.7    5.6    60   -1.4  14.5    SW   7.24  29.0    SW    2.7    5.3    2.2  1015.3  0.00   0.0   0.263   0.000   24.7    26    3.9   23.9   702    1    100.0   30 
08 03 29   3:30    5.8    5.8    5.5    62   -0.9  16.1    SW   8.05  27.4    SW    2.4    5.3    2.0  1015.2  0.00   0.0   0.262   0.000   24.7    26    3.9   23.9   702    1    100.0   30 
08 03 29   4:00    5.8    5.8    5.8    62   -0.9  16.1    SW   8.05  30.6   WSW    2.6    5.4    2.1  1015.3  0.00   0.0   0.260   0.000   24.7    26    3.9   23.8   702    1    100.0   30 
08 03 29  13:00    4.1    5.2    4.1    82    1.3  19.3     W   9.66  43.5     W    0.1    3.9   -0.1  1017.7  0.00   0.0   0.296   0.000   23.8    26    3.1   22.6   702    1    100.0   30 
08 03 29  14:00    2.8    3.6    2.8    91    1.5  14.5     W   7.24  32.2   WSW   -0.9    2.7   -0.9  1018.4  0.00   0.0   0.324   0.000   24.2    27    4.0   23.2   702    1    100.0   30 
08 03 29  14:30    2.3    2.8    2.3    94    1.4  20.9     W  10.46  40.2   WSW   -2.5    2.3   -2.5  1018.8  0.25   0.0   0.334   0.000   24.3    28    4.6   23.4   702    1    100.0   30 
08 03 29  22:30    1.3    1.3    0.9    87   -0.6   3.2   ESE   1.61   6.4   ESE    0.8    1.2    0.7  1021.7  0.00   0.0   0.355   0.000   25.6    36    9.4   24.9   702    1    100.0   30 
08 03 30   3:00    1.2    1.4    1.1    83   -1.3   8.0   WSW   4.02  16.1     W   -1.3    1.1   -1.4  1022.0  0.00   0.0   0.356   0.000   25.2    31    6.8   24.4   703    1    100.0   30 
08 03 30   8:00    3.0    3.0    1.9    72   -1.6   3.2     E   1.61   6.4     E    2.7    2.7    2.4  1022.6  0.00   0.0   0.319   0.000   25.4    29    6.1   24.6   702    1    100.0   30 
08 03 30  13:30    7.1    7.4    6.6    46   -3.8   3.2    NE   1.61  11.3   NNW    7.1    6.3    6.3  1022.5  0.00   0.0   0.235   0.000   24.3    20   -0.1   23.1   703    1    100.0   30 
08 03 30  17:30    6.6    7.0    6.6    48   -3.7   6.4     E   3.22  17.7   ESE    5.4    5.9    4.7  1020.5  0.00   0.0   0.245   0.000   24.1    27    3.9   23.1   702    1    100.0   30 
08 03 30  18:30    5.4    6.1    5.4    51   -3.9   8.0   ESE   4.02  19.3   ESE    3.7    4.8    3.1  1020.3  0.00   0.0   0.269   0.000   24.6    30    5.8   23.8   702    1    100.0   30 
08 03 30  20:00    3.7    3.8    3.6    66   -2.1  17.7   ESE   8.85  33.8    SE   -0.3    3.3   -0.7  1020.0  0.00   0.0   0.306   0.000   24.8    27    4.5   24.1   703    1    100.0   30 
08 03 30  21:30    4.1    4.1    4.0    61   -2.8  22.5    SE  11.27  38.6    SE   -0.4    3.6   -0.8  1019.5  0.00   0.0   0.297   0.000   24.7    26    3.9   23.8   703    1    100.0   30 
08 03 30   0:30    1.6    1.6    1.4    85   -0.6   6.4   WSW   3.22  14.5    SW   -0.3    1.5   -0.4  1022.0  0.00   0.0   0.348   0.000   25.2    33    7.8   24.6   702    1    100.0   30 
08 03 30   8:00    3.0    3.0    1.9    72   -1.6   3.2     E   1.61   6.4     E    2.7    2.7    2.4  1022.6  0.00   0.0   0.319   0.000   25.4    29    6.1   24.6   702    1    100.0   30 
08 03 30   8:30    3.7    3.8    3.0    65   -2.3   3.2   ESE   1.61   9.7    SE    3.5    3.3    3.1  1022.8  0.00   0.0   0.304   0.000   25.4    29    6.1   24.6   703    1    100.0   30 
08 03 30   9:00    3.8    4.3    3.6    68   -1.6   1.6     E   0.80   8.0   ESE    3.8    3.4    3.4  1022.9  0.00   0.0   0.303   0.000   25.4    29    6.1   24.6   702    1    100.0   30 
08 03 30  14:00    6.7    7.1    6.4    47   -3.8   1.6    NE   0.80  12.9     N    6.7    6.1    6.1  1022.3  0.00   0.0   0.242   0.000   23.4    22    0.4   21.9   702    1    100.0   30 
08 03 30  14:30    7.0    7.4    6.8    48   -3.3   3.2   NNE   1.61  11.3   NNE    7.0    6.3    6.3  1021.8  0.00   0.0   0.236   0.000   23.4    23    1.1   22.0   703    1    100.0   30 
08 03 30  18:30    5.4    6.1    5.4    51   -3.9   8.0   ESE   4.02  19.3   ESE    3.7    4.8    3.1  1020.3  0.00   0.0   0.269   0.000   24.6    30    5.8   23.8   702    1    100.0   30 
08 03 30  19:30    3.8    4.6    3.8    64   -2.4  12.9   ESE   6.44  25.7   ESE    0.7    3.4    0.3  1020.1  0.00   0.0   0.302   0.000   24.8    29    5.6   24.1   702    1    100.0   30 
08 03 30  21:30    4.1    4.1    4.0    61   -2.8  22.5    SE  11.27  38.6    SE   -0.4    3.6   -0.8  1019.5  0.00   0.0   0.297   0.000   24.7    26    3.9   23.8   703    1    100.0   30 
08 03 31   1:00    3.6    3.9    3.6    58   -3.9   6.4     E   3.22  16.1     E    1.9    3.1    1.5  1019.2  0.00   0.0   0.308   0.000   25.1    26    4.2   24.3   702    1    100.0   30 
08 03 31   2:00    3.6    3.7    3.4    57   -4.1   6.4   ESE   3.22  14.5    SE    2.0    3.1    1.5  1018.8  0.00   0.0   0.307   0.000   25.2    26    4.3   24.4   702    1    100.0   30 
08 03 31   2:30    3.8    3.8    3.6    52   -5.2   6.4   ESE   3.22  17.7   ESE    2.2    3.2    1.6  1018.6  0.00   0.0   0.303   0.000   25.3    26    4.4   24.4   703    1    100.0   30 
08 03 31   5:00    4.2    4.4    4.1    45   -6.7   4.8   ESE   2.41   8.0   ESE    3.2    3.5    2.6  1017.6  0.00   0.0   0.295   0.000   25.6    25    4.1   24.6   703    1    100.0   30 
